Position,Date,Team,Inning,Batter,Batter_hand,Bounds,Start_area,Catch_area,Catch_pos,Backhand,Throw_area,Throw_to,Throw_time,Throw_direction,Throw_pos,Catch_success,Throw_success,Situation,Note_1,Note_2
유격수,2023.4.1,삼성,3,피렐라,우,2,3유간흙,3유간흙,무릎,No,,,,,,실패,,포구실책,숏바운드처리미스,
유격수,2023.4.1,삼성,7,피렐라,우,2,3유간흙,3유간흙,허리,No,3유간흙,2루,0.95,정면,가슴,성공,성공,병살타,,
유격수,2023.4.1,삼성,8,김태군,우,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.5,정면,가슴,성공,성공,병살타,,
유격수,2023.4.1,삼성,1,구자욱,좌,2,유격수정면,유격수정면,가슴,No,유격수정면,1루,0.6,왼쪽,얼굴,성공,성공,땅볼,,
유격수,2023.4.1,삼성,3,강한울,우,0,유격수정면,2루베이스앞,허리,No,,,,,,성공,,땅볼,,
유격수,2023.4.1,삼성,6,이재현,우,3,3유간흙,3유간흙,발목,No,3유간흙,1루,1.13,정면,발목,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.1,삼성,3,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루저지,,
유격수,2023.4.2,삼성,1,피렐라,우,3,유격수정면,유격수정면,발목,No,유격수정면,2루,0.55,정면,가슴,성공,성공,병살타,숏바운드처리,
유격수,2023.4.2,삼성,6,김지찬,좌,0,유격수정면,2루베이스앞,얼굴,Yes,2루베이스앞,1루,0.7,오른쪽,가슴,성공,성공,땅볼,,
유격수,2023.4.4,두산,6,,,0,2루베이스앞,2루베이스앞,가슴,No,,,,,,성공,,런다운아웃,,
유격수,2023.4.4,두산,3,로하스,좌,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.4,두산,3,정수빈,좌,2,유격수정면,유격수정면,발목,No,유격수정면,1루,1.2,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.4,두산,8,로하스,좌,2,2루베이스뒤,2루베이스뒤,가슴,No,2루베이스뒤,1루,0.75,정면,허리,성공,성공,땅볼,시프트,
유격수,2023.4.4,두산,5,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,도루저지,,
유격수,2023.4.5,두산,1,허경민,우,0,유격수정면,유격수정면,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.5,두산,3,로하스,우,0,유격수정면,2루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.5,두산,1,양의지,우,6,유격수정면,2루베이스뒤,발목,No,,,,,,성공,,내야안타,다이빙캐치,
유격수,2023.4.6,두산,3,로하스,좌,0,유격수정면,3루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.7,키움,3,김준완,좌,1,유격수정면,유격수정면,가슴,No,유격수정면,2루,0.53,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.7,키움,2,김태진,좌,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.03,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.7,키움,7,러셀,우,2,유격수정면,3유간흙,발목,No,3유간흙,1루,0.65,왼쪽,발목,성공,성공,땅볼,러닝스로,
유격수,2023.4.8,키움,5,러셀,우,3,3유간흙,2루베이스앞,발목,No,,,,,,실패,,포구실책,송구전환미스,
유격수,2023.4.8,키움,8,김혜성,좌,0,유격수정면,외야,머리위,Yes,,,,,,성공,,뜬공,,
유격수,2023.4.8,키움,2,이용규,좌,20,유격수정면,유격수정면,발목,No,유격수정면,2루,0.45,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.8,키움,4,김준완,좌,4,유격수정면,유격수정면,발목,No,유격수정면,1루,0.76,오른쪽,얼굴,성공,성공,땅볼,,
